a_id		w_id
a1728		w3248
a1728		w3249
a1728		w3250
a1728		w3251
a1728		w3252
a1728		w3253
a1728		w3254
a1728		w3255
a1728		w3256
a1728		w3257
a1728		w3258
a1728		w3259
a1728		w3260
a1728		w3261
a1728		w3262
a1728		w3263
a1728		w3264
a1728		w3265
a1728		w3266
a1728		w3267
a1728		w3268
a1728		w3269
a1728		w3275
a1728		w3276
a1728		w3278
a1728		w3279
a1728		w3280
a1728		w3281
a1728		w3282
a1728		w3297
a1728		w3299
a1728		w3301
a1728		w3302
a1728		w3303
a1728		w3304
a1728		w3305
a1728		w3313
a1728		w3314
a1728		w3315
a1728		w3316
a1728		w3317
a1728		w3319
a1728		w3321
a1728		w3327
a1728		w3328
a1728		w3329
a1728		w3330
a1728		w3342
a1728		w3343
a1728		w3347
a1728		w3348
a1728		w3349
a1728		w3350
a1728		w3351
a1728		w3352
a1728		w3353
a1728		w3354
a1728		w3355
a1728		w3369
a1728		w3370
a1728		w3374
a1728		w3375
a1728		w3376
a1728		w3377
a1728		w3378
a1728		w3379
a1728		w3380
a1728		w3381
a1728		w3382
a1728		w3384
a1728		w3385
a1728		w3386
a1728		w3387
a1728		w3388
a1728		w3389
a1728		w3390
a1728		w3396
a1728		w3401
a1728		w3402
a1728		w3404
a1728		w3409
a1728		w3411
a1728		w3413
a1728		w3414
a1728		w3415
a1728		w3416
a1728		w3417
a1728		w3421
a1728		w3439
a1728		w3440
a1728		w3445
a1728		w3447
a1728		w3448
a1728		w3449
a1728		w3450
a1728		w3451
a1728		w3452
a1728		w3453
a1728		w3454
a1728		w3455
a1728		w3460
a1728		w3461
a1728		w3462
a1728		w3463
a1728		w3464
a1728		w3465
a1728		w3466
a1728		w3467
a1728		w3468
a1728		w3472
a1728		w3473
a1728		w3474
a1728		w3475
a1728		w3476
a1728		w3477
a1728		w3478
a1728		w3479
a1729		w832
a173		w2537
a1730		w158
a1730		w1724
a1730		w1904
a1730		w1941
a1730		w198
a1730		w2206
a1730		w2282
a1730		w2624
a1730		w2634
a1730		w4480
a1730		w4493
a1730		w4528
a1730		w604
a1737		w1401
a1737		w1423
a1737		w1449
a1737		w1500
a1737		w1625
a1738		w2201
a1738		w2493
a1741		w2138
a1741		w4581
a1747		w1803
a1747		w731
a1747		w941
a175		w1627
a1753		w64
a1753		w72
a1756		w1429
a1756		w1558
a1756		w1559
a1756		w1578
a1756		w1610
a1756		w1614
a1756		w1630
a1758		w1066
a1758		w2380
a1758		w629
a176		w3017
a1771		w1431
a1774		w2390
a1774		w32
a1774		w993
a1775		w1712
a1775		w1715
a1775		w1728
a1775		w1737
a1775		w1768
a178		w1350
a178		w1359
a178		w1379
a178		w2329
a178		w2487
a1791		w114
a1791		w145
a1791		w315
a1791		w322
a1791		w324
a1791		w333
a1791		w334
a1791		w336
a1791		w337
a1791		w339
a1791		w341
a1791		w343
a1791		w345
a1791		w348
a1791		w350
a1791		w351
a1791		w363
a1791		w364
a1791		w370
a1791		w371
a1791		w372
a1791		w385
a1791		w394
a1791		w397
a1791		w401
a1791		w403
a1791		w434
a1791		w99
a1795		w2599
a1799		w1429
a1799		w1559
a1799		w1578
a1799		w1610
a1799		w1614
a1799		w1630
a18		w133
a1818		w806
a1818		w91
a1818		w935
a1818		w944
a1818		w945
a1826		w653
a1826		w711
a1826		w997
a1829		w937
a183		w3508
a183		w3509
a183		w3514
a183		w3523
a183		w3565
a183		w3571
a183		w3580
a183		w3596
a183		w3627
a183		w3636
a183		w3732
a183		w3755
a183		w3770
a183		w3791
a183		w3820
a183		w3928
a183		w3975
a183		w3981
a183		w4075
a183		w4123
a1831		w157
a1831		w60
a1831		w644
a1832		w2556
a1835		w1429
a1835		w1509
a1835		w1558
a1835		w1559
a1835		w1578
a1835		w1610
a1835		w1614
a1835		w1630
a1838		w2313
a1838		w2616
a1838		w2951
a1838		w2952
a1838		w2984
a1838		w2985
a1838		w2986
a1838		w3021
a1838		w3022
a1838		w3029
a1838		w3044
a1838		w3045
a1838		w3046
a1838		w3055
a1838		w3056
a1838		w3071
a1838		w3072
a1838		w3073
a1838		w3077
a1838		w3078
a1838		w3095
a1838		w3105
a1838		w3106
a1838		w3116
a1838		w3117
a1838		w3121
a1838		w3122
a1838		w3134
a1838		w3149
a1838		w3150
a1838		w3151
a1838		w3176
a1838		w3177
a1838		w3178
a1838		w3179
a1838		w3180
a1838		w3181
a1838		w3221
a1838		w3222
a1838		w3223
a1838		w3224
a1838		w3225
a1838		w3226
a1838		w3286
a1838		w3287
a1838		w3288
a1838		w3289
a1838		w3290
a1838		w3335
a1838		w3336
a1838		w3337
a1838		w3438
a1839		w63
a1840		w2289
a1844		w2201
a1844		w2493
a1851		w2601
a1855		w2469
a1861		w2993
a1869		w2322
a1883		w2737
a1883		w654
a1887		w1062
a1887		w831
a1889		w1803
a1889		w60
a1889		w731
a1889		w941
a1891		w2687
a1898		w216
a19		w2956
a190		w2932
a191		w1512
a1915		w195
a1918		w624
a1918		w718
a1919		w3047
a1919		w3048
a1919		w3049
a1919		w3050
a1919		w3051
a1919		w3052
a1919		w3053
a1919		w3054
a1919		w3057
a1919		w3058
a1919		w3059
a1919		w3060
a1919		w3061
a1919		w3062
a1919		w3063
a1919		w3064
a1919		w3065
a1919		w3066
a1919		w3080
a1919		w3081
a1919		w3082
a1919		w3083
a1919		w3084
a1919		w3085
a1919		w3086
a1919		w3087
a1919		w3088
a1919		w3089
a1919		w3090
a1919		w3091
a1919		w3092
a1919		w3093
a1919		w3094
a1919		w3096
a1919		w3097
a1919		w3098
a1919		w3123
a1919		w3124
a1919		w3125
a1919		w3126
a1919		w3127
a1919		w3128
a1919		w3129
a1919		w3130
a1919		w3131
a1919		w3137
a1919		w3138
a1919		w3139
a1919		w3140
a1919		w3141
a1919		w3142
a1919		w3143
a1919		w3144
a1919		w3155
a1919		w3156
a1919		w3157
a1919		w3158
a1919		w3159
a1919		w3160
a1919		w3161
a1919		w3162
a1919		w3163
a1919		w3164
a1919		w3165
a1919		w3166
a1919		w3167
a1919		w3168
a1919		w3169
a1919		w3182
a1919		w3183
a1919		w3184
a1919		w3185
a1919		w3186
a1919		w3187
a1919		w3188
a1919		w3189
a1919		w3190
a1919		w3191
a1919		w3192
a1919		w3193
a1919		w3194
a1919		w3195
a1919		w3196
a1919		w3197
