_id,ltable_id,rtable_id,ltable_model,ltable_combo,rtable_model,rtable_combo
5661,a252,w685,t8tjg,2018 2-in-1 dell inspiron 13 5000 13.3 inch full hd touchscreen flagship backlit keyboard laptop pc intel core i7-8550u quad-core 8gb ddr4 256gb ssd waves maxxaudio pro windows 10 dell t8tjg windows 10,t8tjg,dell chromebook 11 3189 - 11.6 - celeron n3060 - 4 gb ram - 64 gb ssd dell t8tjg chrome os
5716,a2551,w585,1kv26ua#aba,hp laptop 15-bw071nrwindows 10 homeamd a9-94204gb ddr41tb 5400rpm sata hdda hp 1kv26ua#aba unknown,1kv01ua#aba,hp 15-bs030nr 15.6 laptop touchscreen windows 10 intel core i5-7200u processor 8gb ram 1tb hard drive hp 1kv01ua#aba windows 10
5774,a260,w804,hp touch 15,hp 15.6’’ hd touchscreen trubrite display laptop pc intel dual core i5-7200u 2.5ghz processor 8gb ddr4 sdram 1tb hdd hdmi hd graphics 620 dts studio sound dvd burner windows 10 hp hp touch 15 windows 10,hp envy 15t fhd touch,newest hp envy 15t high performance laptop pc with full hd touchscreen ( intel i7 processor 32gb ram 1tb hdd + 1tb ssd 15.6 inch fhd (1920 x 1080) touchscreen windows 10) hp hp envy 15t fhd touch 
5785,a2609,w1509,hp pavilion,2018 flagship hp pavilion 14 wled hd premium business laptop - intel dual-core i5-7200u up to 3.1ghz 12gb ddr4 128gb ssd+1tb hdd b&o play 802.11ac bluetooth hdmi usb type-c backlit keyboard win 10 hp hp pavilion windows 10 home 64-bit,hp pavilion gaming 15t t9y85av,hp pavilion 15t gaming laptop with uhd 4k touchscreen ( i7 quad core 16gb nvidia geforce 960m 512gb ssd 15.6 inch uhd (3840 x 2160) touchscreen windows 10) t9y85av hp hp pavilion gaming 15t t9y85av 
5797,a2616,w1392,pa71hs-g,prostar clevo pa71hs-g 17.3” full hd ips matte display gaming laptop with g-sync intel core i7-7700hq 16gb ddr4 gtx 1070 256gb nvme ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty prostar pa71hs-g windows 10,n850hk1,prostar clevo n850hk1 15.6” full hd ips (1920x1080) matte display gaming laptop intel core i7-7700hq 8gb ddr4 gtx 1050ti 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty prostar n850hk1 microsoft?? windows 10 (64-bit)??
5856,a2616,w1601,pa71hs-g,prostar clevo pa71hs-g 17.3” full hd ips matte display gaming laptop with g-sync intel core i7-7700hq 16gb ddr4 gtx 1070 256gb nvme ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty prostar pa71hs-g windows 10,p650hp6-g,prostar clevo p650hp6-g vr ready gaming 15.6 fhd/ips/matte display with g-sync intel core i7-7700hq 32gb ddr4 gtx 1060 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty prostar p650hp6-g microsoft windows 10 (64-bit)
5981,a2689,w676,hp-15touch-laptop,2016 hp 15.6 touchscreen premium high performance laptop amd a10-9600p quad-core 2.4ghz 6gb ram 1tb hdd dvd+/-rw webcam wifi hdmi radeon r5 graphics windows 10 hp hp-15touch-laptop windows 10,,new flagship hp laptop 15.6 hd high performance premium touchscreen amd a8-7410 quad-core 2.20 ghz 4gb ram 1tb hdd amd radeon r5 dvdrw wlan webcam usb 3.0 hdmi win 10 -dreamy teal hp windows 10
6079,a2717,w774,,omen x by hp 17.3 inch 4k uhd gaming and business laptop pc (intel i7 quad core processor 32gb ram 2tb ssd 17.3 3840x2160 display nvidia geforce gtx 1080 win 10 pro) vr ready michaelelectronics2 windows 10,hp-17-02401-fhd-me15,hp envy 17t premium 17.3 inch touch laptop (intel 8th gen i7 quad core 16gb ram 4tb ssd (solid state drive) nvidia geforce mx150 17.3 fhd (1920 x 1080) touchscreen dvd win 10 pro) michaelelectronics2 hp-17-02401-fhd-me15 microsoft windows
6090,a2724,w1610,hp pavilion,2018 flagship hp pavilion 15.6 fhd ips gaming business laptop intel quad-core i7-8550u 16gb ddr4 256gb ssd 4gb nvidia geforce 940mx dvdrw backlit keyboard b&o play wlan bluetooth usb type-c win 10 hp hp pavilion windows 10 home 64-bit,hp pavilion gaming 15t t9y85av,hp pavilion 15t gaming laptop with full hd touchscreen ( intel i7 quad core 16gb nvidia geforce 960m 2tb hdd + 1tb ssd 15.6 inch fhd (1920 x 1080) touchscreen windows 10) t9y85av hp hp pavilion gaming 15t t9y85av 
6131,a2758,w3209,thinkpad p51s,lenovo thinkpad p51s touch mobile workstation laptop - windows 10 pro core i7-7500u 32gb ram 1tb ssd 15.6 fhd 1080p ips touchscreen nvidia quadro m520m fingerprint smart card reader lenovo thinkpad p51s windows 10 pro,,pcie touch lenovo thinkpad t460s windows 10 pro laptop - intel core i7-6600u 8gb ram 512gb pcie-nvme ssd 14 ips fhd (1920x1080) matte touchscreen fingerprint reader smart card reader lenovo windows 10
